account_id,customer_id,account_type,balance,account_status
1,8329,Savings,10820,Active
2,14062,Checking,7744,Active
3,12371,Savings,0,Active
4,10556,Checking,11555,Active
5,10503,Savings,2369,Active
6,10778,Savings,0,Active
7,6222,Savings,10302,Active
8,4576,Checking,0,Active
9,3879,Checking,0,Inactive
10,7974,Checking,6725,Closed
11,14278,Savings,0,Active
12,11805,Checking,7303,Active
13,44,Savings,19618,Inactive
14,12383,Checking,16358,Active
15,9251,Credit Card,1872,Active
16,1946,Credit Card,3775,Active
17,1912,Savings,0,Inactive
18,6729,Savings,0,Inactive
19,1717,Checking,15525,Active
20,15541,Savings,15976,Active
21,4877,Checking,24090,Active
22,7764,Checking,0,Active
23,3773,Credit Card,3906,Active
24,15836,Savings,0,Active
25,9715,Credit Card,5227,Active
26,1577,Credit Card,17346,Inactive
27,12209,Checking,11002,Active
28,681,Checking,0,Active
29,2334,Savings,4948,Active
30,16769,Checking,0,Active
31,2328,Checking,0,Active
32,19382,Checking,9117,Active
33,16128,Savings,18544,Active
34,8401,Checking,5254,Active
35,95,Savings,22569,Active
36,17250,Savings,19213,Closed
37,116,Savings,14085,Inactive
38,19539,Checking,5734,Active
39,7001,Checking,4413,Active
40,17793,Checking,0,Active
41,19323,Checking,2171,Active
42,5870,Checking,0,Active
43,13188,Savings,0,Active
44,16995,Checking,8198,Active
45,15026,Checking,5498,Active
46,3316,Savings,21533,Active
47,15463,Credit Card,0,Active
48,1761,Savings,24569,Active
49,10512,Checking,7647,Active
50,13549,Checking,11560,Active
51,10596,Savings,20623,Active
52,10611,Checking,11625,Inactive
53,11190,Credit Card,0,Active
54,2692,Credit Card,25594,Active
55,9292,Savings,25,Inactive
56,19630,Savings,0,Active
57,8015,Savings,14036,Active
58,13201,Checking,0,Active
59,5585,Checking,9464,Active
60,15620,Checking,0,Active
61,9095,Checking,4188,Active
62,4964,Credit Card,8890,Active
63,17062,Savings,0,Active
64,18468,Checking,0,Active
65,14698,Checking,14718,Active
66,19896,Savings,4842,Active
67,6113,Savings,0,Active
68,1047,Savings,10385,Active
69,8412,Credit Card,0,Closed
70,10268,Checking,0,Closed
71,15062,Credit Card,0,Active
72,10791,Checking,4350,Active
73,6678,Checking,1919,Active
74,2237,Checking,1779,Active
75,14840,Savings,8399,Active
76,5362,Credit Card,0,Active
77,7229,Checking,10341,Active
78,7887,Savings,0,Active
79,18657,Checking,5462,Active
80,6622,Savings,12363,Active
81,3000,Savings,19181,Inactive
82,17111,Checking,0,Active
83,12219,Checking,14435,Active
84,17202,Savings,10686,Active
85,11431,Checking,3046,Active
86,2217,Credit Card,10351,Active
87,3269,Savings,0,Active
88,10811,Savings,0,Closed
89,14514,Savings,15809,Active
90,748,Credit Card,2646,Inactive
91,8375,Checking,22628,Closed
92,4595,Credit Card,20188,Active
93,1179,Checking,0,Inactive
94,12183,Checking,21493,Active
95,18007,Checking,3501,Inactive
96,6778,Savings,9664,Active
97,16864,Savings,8551,Active
98,5687,Savings,0,Inactive
99,19944,Credit Card,1124,Active
100,10044,Checking,17031,Active
101,15575,Credit Card,7971,Active
102,18746,Checking,0,Inactive
103,12608,Savings,14620,Active
104,1186,Credit Card,0,Active
105,2692,Checking,14479,Active
106,11341,Credit Card,20383,Active
107,7497,Savings,0,Inactive
108,16268,Savings,16237,Active
109,12002,Savings,14662,Active
110,19124,Savings,22810,Active
111,9992,Checking,0,Active
112,18900,Credit Card,0,Active
113,784,Credit Card,0,Inactive
114,148,Checking,0,Active
115,9032,Savings,31893,Inactive
116,16669,Savings,5581,Closed
117,3859,Savings,5859,Active
118,13226,Checking,21365,Active
119,4645,Checking,0,Closed
120,8319,Credit Card,9713,Active
121,17983,Savings,0,Closed
122,14690,Checking,1859,Active
123,12855,Checking,22370,Inactive
124,18441,Checking,18083,Active
125,6355,Credit Card,9774,Active
126,12389,Credit Card,3486,Inactive
127,456,Savings,5675,Active
128,5516,Credit Card,9538,Active
129,19505,Savings,0,Active
130,12997,Savings,21748,Active
131,5441,Credit Card,0,Inactive
132,12365,Credit Card,0,Active
133,9319,Savings,0,Active
134,5128,Savings,12033,Active
135,1659,Credit Card,24573,Active
136,5870,Credit Card,0,Active
137,2972,Savings,0,Active
138,11786,Credit Card,0,Active
139,15025,Checking,0,Active
140,818,Checking,3476,Active
141,3658,Checking,3331,Inactive
142,10,Savings,13795,Active
143,4053,Checking,4791,Active
144,4674,Checking,0,Active
145,10249,Checking,18131,Active
146,9855,Checking,19168,Active
147,9968,Savings,0,Active
148,11814,Credit Card,13923,Active
149,7939,Checking,16692,Active
150,14727,Checking,4461,Active
151,12404,Savings,528,Active
152,7769,Savings,20229,Active
153,2659,Savings,4409,Active
154,18406,Savings,16814,Active
155,14454,Savings,29589,Active
156,5780,Savings,13714,Inactive
157,11991,Savings,0,Active
158,9074,Savings,0,Active
159,8341,Credit Card,0,Active
160,2282,Savings,9689,Active
161,12357,Savings,0,Active
162,10408,Credit Card,5081,Closed
163,2288,Savings,0,Active
164,2795,Checking,0,Active
165,14902,Checking,4492,Active
166,13345,Savings,0,Active
167,7873,Savings,0,Active
168,8036,Credit Card,12780,Active
169,1872,Savings,2891,Active
170,10294,Checking,16314,Inactive
171,9987,Savings,13343,Active
172,13106,Credit Card,16364,Inactive
173,19730,Savings,17580,Active
174,13059,Credit Card,1250,Active
175,14698,Savings,2431,Active
176,3187,Savings,0,Inactive
177,18691,Checking,8605,Active
178,7304,Savings,5848,Active
179,10016,Savings,0,Active
180,19475,Credit Card,6120,Active
181,18992,Checking,14278,Inactive
182,3294,Savings,1472,Active
183,2232,Checking,6199,Inactive
184,18758,Checking,8483,Active
185,7344,Savings,10526,Active
186,11295,Credit Card,10658,Active
187,5290,Credit Card,1205,Active
188,3061,Checking,0,Active
189,17960,Checking,0,Inactive
190,13647,Checking,317,Inactive
191,1771,Credit Card,18549,Active
192,5419,Checking,0,Active
193,18894,Savings,19755,Active
194,6458,Savings,10496,Active
195,14502,Checking,12956,Inactive
196,6092,Credit Card,0,Active
197,14973,Credit Card,0,Active
198,7695,Credit Card,21638,Active
199,2749,Checking,0,Active
200,15397,Savings,0,Active
201,12382,Savings,0,Active
202,14331,Savings,0,Inactive
203,4726,Checking,6350,Active
204,8291,Savings,18436,Closed
205,4259,Savings,6669,Active
206,6826,Savings,10286,Active
207,16426,Checking,13546,Active
208,4148,Savings,0,Active
209,5733,Checking,7091,Active
210,1564,Checking,9272,Active
211,8425,Credit Card,0,Active
212,2050,Credit Card,11888,Active
213,2434,Savings,0,Active
214,17902,Credit Card,3321,Active
215,11889,Checking,23828,Active
216,16845,Savings,15214,Active
217,8102,Savings,11078,Active
218,16569,Checking,9280,Inactive
219,11316,Savings,0,Active
220,10202,Checking,0,Active
221,411,Savings,6135,Closed
222,7989,Savings,0,Active
223,7079,Checking,0,Active
224,2469,Savings,0,Closed
225,2273,Savings,26103,Inactive
226,18361,Savings,16786,Active
227,7122,Savings,5760,Active
228,17437,Savings,0,Active
229,12656,Savings,5773,Active
230,9638,Credit Card,3908,Inactive
231,7761,Credit Card,22274,Active
232,6265,Checking,20491,Active
233,19888,Credit Card,0,Active
234,9721,Savings,12011,Closed
235,12008,Checking,0,Active
236,8313,Credit Card,0,Active
237,781,Checking,17324,Active
238,14036,Checking,8020,Active
239,19641,Savings,32291,Active
240,8965,Savings,2348,Inactive
241,11254,Savings,0,Active
242,5591,Savings,0,Active
243,16651,Savings,5581,Active
244,6610,Credit Card,0,Active
245,17407,Savings,816,Active
246,9525,Checking,0,Inactive
247,7674,Checking,0,Active
248,19907,Checking,0,Active
249,6431,Checking,9787,Active
250,13163,Credit Card,1852,Active
251,18659,Checking,2552,Active
252,3815,Checking,0,Active
253,5341,Savings,0,Active
254,12123,Checking,0,Active
255,16259,Checking,20022,Active
256,11415,Savings,0,Active
257,15194,Credit Card,1325,Active
258,2694,Credit Card,0,Inactive
259,10913,Checking,9205,Active
260,4085,Credit Card,0,Active
261,11779,Savings,6670,Active
262,16275,Checking,16018,Inactive
263,10856,Checking,4142,Active
264,403,Savings,0,Inactive
265,411,Checking,18387,Closed
266,18354,Checking,1394,Active
267,19365,Savings,10791,Active
268,12730,Savings,0,Active
269,8106,Savings,11535,Active
270,16179,Savings,12134,Active
271,18024,Checking,21504,Active
272,1986,Checking,1339,Active
273,16654,Savings,15778,Active
274,9272,Checking,12076,Active
275,14236,Credit Card,3096,Closed
276,5258,Savings,0,Active
277,1180,Savings,0,Active
278,15865,Checking,2752,Active
279,13201,Credit Card,0,Active
280,4783,Checking,5880,Active
281,8645,Credit Card,0,Active
282,7443,Checking,11732,Inactive
283,935,Savings,2531,Active
284,16767,Savings,6396,Active
285,6553,Checking,0,Active
286,19251,Savings,4839,Active
287,626,Savings,14071,Active
288,12502,Savings,2419,Active
289,7590,Checking,0,Active
290,14941,Savings,1036,Active
291,3177,Checking,14740,Active
292,11665,Checking,0,Active
293,9380,Savings,0,Active
294,1716,Savings,4302,Active
295,1806,Checking,0,Active
296,18193,Credit Card,0,Active
297,2588,Credit Card,3939,Closed
298,10357,Savings,20315,Active
299,1926,Credit Card,0,Active
300,6984,Savings,0,Active
301,3508,Savings,0,Active
302,17877,Savings,6875,Active
303,19153,Checking,7111,Active
304,15271,Checking,3430,Inactive
305,16843,Checking,14447,Inactive
306,10215,Savings,13242,Active
307,18437,Savings,0,Active
308,12895,Checking,16010,Active
309,2128,Savings,5800,Active
310,17305,Checking,1141,Active
311,19660,Checking,0,Active
312,1603,Checking,0,Active
313,13493,Checking,0,Active
314,14148,Savings,18662,Active
315,3142,Checking,560,Active
316,15776,Checking,5494,Inactive
317,7381,Credit Card,0,Active
318,7352,Savings,0,Active
319,6072,Credit Card,0,Active
320,1916,Credit Card,24618,Active
321,12482,Checking,1926,Active
322,15086,Checking,1649,Inactive
323,1731,Checking,0,Active
324,3993,Savings,0,Active
325,4763,Checking,0,Active
326,10715,Savings,15922,Closed
327,17495,Checking,0,Inactive
328,1289,Checking,0,Closed
329,18365,Checking,6788,Active
330,6692,Savings,12456,Active
331,15115,Checking,0,Active
332,8461,Credit Card,16392,Active
333,8135,Checking,3452,Closed
334,4586,Checking,0,Active
335,2539,Checking,0,Active
336,1613,Checking,7372,Active
337,8309,Savings,10110,Inactive
338,10758,Checking,0,Active
339,14123,Savings,0,Active
340,8404,Checking,0,Active
341,4425,Checking,4624,Active
342,6681,Savings,3173,Active
343,5861,Savings,1043,Inactive
344,3369,Checking,27488,Inactive
345,19052,Savings,19640,Active
346,3923,Savings,8520,Active
347,13309,Checking,0,Inactive
348,10052,Savings,0,Inactive
349,56,Savings,17178,Active
350,3890,Savings,0,Active
351,16428,Credit Card,7370,Active
352,1542,Savings,24468,Active
353,8691,Credit Card,0,Active
354,10361,Checking,16749,Active
355,5680,Savings,11200,Active
356,6,Credit Card,8280,Active
357,12325,Savings,7494,Inactive
358,4322,Checking,7894,Active
359,8936,Checking,9586,Active
360,6515,Checking,0,Closed
361,1258,Savings,9380,Active
362,4955,Savings,75,Active
363,6099,Credit Card,0,Active
364,16475,Savings,929,Active
365,9945,Checking,2318,Active
366,2082,Checking,22400,Inactive
367,12928,Savings,16174,Inactive
368,6603,Checking,6572,Active
369,10244,Savings,0,Active
370,7020,Savings,0,Active
371,5941,Credit Card,21563,Inactive
372,6106,Credit Card,0,Inactive
373,3879,Savings,11769,Inactive
374,6373,Savings,0,Active
375,6193,Credit Card,11045,Active
376,9920,Checking,6600,Active
377,11959,Savings,6792,Active
