customer_id,age,gender,income,region,risk_score
1,69,Male,51865,North,1
2,32,Male,37141,West,96
3,89,Female,73083,West,84
4,78,Female,30152,North,1
5,38,Male,39851,North,25
6,41,Male,27767,South,41
7,20,Female,69854,South,91
8,39,Male,49030,West,23
9,70,Female,35762,East,18
10,19,Male,58920,North,95
11,47,Male,81576,West,28
12,55,Male,10000,South,85
13,19,Female,62319,East,12
14,81,Female,84673,South,88
15,77,Male,81098,South,49
16,38,Male,45003,South,97
17,50,Male,51926,East,81
18,75,Female,54160,South,97
19,39,Male,44840,West,16
20,66,Male,68478,East,27
21,76,Male,17877,North,53
22,59,Female,61511,North,92
23,77,Female,48481,North,36
24,32,Female,70216,North,7
25,79,Male,72198,South,34
26,79,Male,52200,South,65
27,64,Male,37549,North,4
28,79,Male,70764,East,26
29,68,Female,24520,South,20
30,72,Male,28944,South,51
31,81,Male,48470,East,77
32,20,Female,39604,East,99
33,68,Female,45696,West,10
34,24,Female,43922,East,8
35,38,Female,49470,North,18
36,56,Female,79748,North,17
37,35,Female,26901,East,69
38,21,Female,40670,West,30
39,77,Male,66492,West,95
40,31,Male,50731,North,39
41,26,Female,30587,North,61
42,70,Female,48259,East,24
43,19,Female,19854,South,81
44,77,Female,70645,West,98
45,88,Male,52366,North,35
46,61,Female,94006,East,79
47,25,Female,27597,East,61
48,64,Female,36702,East,75
49,52,Male,53422,West,98
50,53,Male,76342,South,72
51,67,Male,40295,East,15
52,21,Male,35927,East,36
53,19,Male,51517,South,55
54,23,Female,36564,East,37
55,71,Male,59519,North,87
56,21,Female,51528,West,62
57,71,Female,63971,South,64
58,80,Female,67884,South,39
59,35,Female,57326,West,90
60,61,Female,73077,East,98
61,51,Female,43248,West,75
62,79,Female,21121,North,12
63,31,Female,28447,South,72
64,65,Male,48294,East,8
65,32,Female,58356,East,41
66,89,Male,61674,West,69
67,79,Male,37045,South,74
68,57,Male,67309,West,3
69,70,Female,10000,South,43
70,41,Male,39057,West,37
71,43,Female,59883,East,86
72,77,Female,68253,West,57
73,58,Male,65142,South,25
74,46,Female,68608,North,4
75,32,Male,53470,West,58
76,62,Female,47572,North,37
77,82,Female,12439,East,8
78,88,Male,45158,West,94
79,26,Female,27053,North,9
80,18,Female,62325,West,79
81,25,Female,22643,West,1
82,80,Female,46896,East,13
83,28,Female,26196,South,68
84,25,Male,49762,South,16
85,52,Male,47368,West,44
86,52,Male,14928,East,65
87,50,Female,56885,West,14
88,22,Male,44307,East,91
89,58,Female,50558,South,26
90,45,Male,41696,East,32
91,24,Male,35662,West,2
92,89,Male,65135,North,16
93,29,Female,70623,North,92
94,51,Female,69380,West,49
95,50,Male,22650,North,90
96,65,Female,77771,West,75
97,40,Male,61258,West,23
98,79,Female,74988,South,94
99,54,Male,74653,South,60
100,61,Female,56981,South,95
101,52,Female,34110,West,66
102,82,Female,34832,East,20
103,64,Male,36390,West,93
104,20,Male,46379,South,74
105,18,Female,30226,South,18
106,22,Female,15695,North,59
107,31,Female,16322,South,31
108,44,Female,49323,East,4
109,26,Female,44613,West,27
110,32,Male,60196,East,18
111,59,Male,46391,West,63
112,68,Male,73047,North,95
113,80,Male,38214,North,71
114,69,Female,56607,East,19
115,21,Female,61041,North,39
116,40,Male,51069,West,66
117,32,Female,70273,North,78
118,60,Female,60523,West,46
119,46,Female,66106,West,92
120,53,Male,37179,East,38
121,30,Female,45612,West,67
122,49,Male,10000,North,29
123,88,Female,48743,East,91
124,76,Female,22593,West,57
125,45,Male,96939,West,48
126,83,Male,56025,West,52
127,59,Female,42031,East,48
128,62,Male,65051,West,61
129,79,Male,22185,East,67
130,74,Female,40121,North,48
131,23,Male,43026,East,94
132,45,Male,62894,South,82
133,45,Female,30435,South,8
134,61,Male,36055,West,74
135,47,Male,52231,West,86
136,79,Female,62628,South,88
137,79,Male,54228,North,67
138,18,Female,31876,East,14
139,44,Female,52130,South,47
140,79,Female,36299,East,24
141,20,Male,31141,North,91
142,87,Male,58162,North,62
143,89,Female,60927,South,58
144,44,Female,49727,West,34
145,26,Female,60221,North,31
146,79,Female,65398,North,48
147,54,Male,10000,East,91
148,68,Male,58211,East,45
149,61,Female,80973,South,29
150,41,Female,44315,South,29
151,76,Male,80742,East,63
152,49,Female,56307,North,48
153,69,Male,51592,West,12
154,79,Female,55326,West,78
155,75,Male,19572,South,27
156,69,Female,83431,East,47
157,29,Female,40058,North,66
158,56,Female,26036,West,37
159,19,Female,39327,West,45
160,20,Male,50461,West,57
161,73,Female,72588,North,18
162,76,Female,48490,North,13
163,19,Female,43575,South,73
164,19,Female,43891,South,29
165,71,Male,22879,East,56
166,18,Female,39462,East,74
167,36,Male,38194,East,20
168,19,Male,55001,East,29
169,70,Male,15542,East,6
170,61,Male,41170,South,26
171,49,Male,76153,North,61
172,87,Male,58399,West,86
173,49,Male,68799,North,43
174,85,Male,42138,South,47
175,72,Male,83322,West,26
176,73,Female,65939,West,81
177,34,Female,51369,North,1
178,55,Female,62923,West,95
179,41,Female,25285,South,73
180,86,Male,24867,West,26
181,87,Male,66140,North,64
182,28,Male,72676,North,62
183,33,Female,31603,East,6
184,76,Female,67090,South,62
185,87,Male,60694,West,66
186,20,Male,34101,West,42
187,37,Female,30129,West,27
188,76,Male,35573,North,65
189,53,Female,40225,South,30
190,36,Female,42066,West,82
191,84,Female,18156,South,98
192,36,Female,40251,West,85
193,37,Male,56358,East,65
194,88,Female,63240,East,47
195,69,Female,38187,East,32
196,50,Female,79885,North,34
197,57,Female,50403,West,47
198,56,Female,100710,North,14
199,18,Female,35065,North,5
200,28,Male,57234,North,36
201,74,Male,48247,East,96
202,67,Male,36651,South,9
203,40,Female,67231,South,35
204,48,Female,65255,South,25
205,59,Male,44870,West,75
206,24,Male,56368,North,46
207,33,Female,55194,North,13
208,77,Male,44773,West,61
209,19,Male,34883,North,30
210,18,Male,49963,South,98
211,65,Male,46186,North,32
212,29,Female,28771,West,30
213,86,Male,63153,West,82
214,54,Female,50896,South,56
215,49,Female,47283,North,67
216,26,Male,20177,West,71
217,36,Male,56341,West,55
218,65,Female,20234,West,98
219,20,Female,52821,South,8
220,37,Male,67047,North,43
221,41,Male,83243,East,48
222,71,Male,51338,North,58
223,50,Female,85166,South,32
224,41,Male,64653,South,78
225,89,Male,59448,West,69
226,53,Male,72317,West,7
227,55,Female,76781,South,74
228,42,Male,66469,East,20
229,35,Female,47178,East,62
230,83,Male,39273,South,21
231,71,Male,24181,West,92
232,52,Female,53361,South,29
233,78,Female,73626,West,70
234,58,Female,30765,West,38
235,50,Female,28468,South,42
236,85,Male,85958,North,3
237,50,Female,44876,South,37
238,31,Male,15586,North,17
239,38,Male,20871,East,33
240,65,Female,58853,West,10
241,37,Female,40478,East,37
242,25,Female,59569,West,33
243,24,Female,45565,West,28
244,84,Female,54225,South,87
245,34,Male,85345,West,42
246,50,Female,46267,East,58
247,65,Female,73549,West,48
